epoch,accuracy,loss
1,52.611849075055005,1.2887399895116687
2,65.33289870426208,0.9769234132642547
3,70.915165838155,0.8297311486676335
4,74.42751202021026,0.7273990778873364
5,77.14122728383995,0.6524706825924417
6,79.87939043272758,0.566614217745761
7,82.59310569635727,0.49145696343233186
8,85.05419281232173,0.4217432262375951
9,87.75975878086545,0.35347131080925465
10,89.94376986390677,0.291177103916804
11,92.67378371770842,0.22363184788264334
12,94.53182299731073,0.17034925328334793
13,95.5260369977997,0.13623133794559786
14,96.67508760492217,0.10650954693361807
15,98.09306494988184,0.07106614010990597
16,98.54942547469643,0.05311637838409903
17,99.03838317985495,0.04021699341440884
18,99.55178877027137,0.02238129449930663
19,99.5436394751854,0.021331831356898572
20,99.89405916388232,0.012743616993247997
21,100.0,0.0050481625269943224
22,100.0,0.0025013908962137066
23,100.0,0.0014895670101395808
24,100.0,0.00112319157597085
25,100.0,0.0009093470634979894
26,100.0,0.0007749116189188499
27,100.0,0.0006634121626423924
28,100.0,0.0005663223502475981
29,100.0,0.0004946836364373061
30,100.0,0.00044707573291210184
31,100.0,0.00039227481344520737
32,100.0,0.00033570940407419886
33,100.0,0.0002958920492043641
34,100.0,0.00026407665594282054
35,100.0,0.00023666608702418065
36,100.0,0.00020864680065339294
37,100.0,0.00018334406422582106
38,100.0,0.0001651046218285046
39,100.0,0.00014556097880813468
40,100.0,0.000130244443198535
