epoch,accuracy,loss
1,38.42000766310216,1.5708815201884654
2,49.46532446271204,1.3210907348811227
3,54.98972447664495,1.183930510003742
4,60.72311818593472,1.0507487772833266
5,66.01762513497509,0.9137666805549826
6,72.01574419171688,0.7678765649253914
7,78.06959490055384,0.6144902591981442
8,83.81343829461144,0.4632544094045337
9,88.78052178759275,0.337301174357102
10,92.27419972830819,0.239117619836649
11,95.09909784388171,0.16624475897752364
12,96.11968372287436,0.13352095636068315
13,97.0880211780278,0.10204367633734752
14,97.56522344909261,0.09431611320090984
15,97.87523076387195,0.08025923124483407
16,98.44299696959142,0.06270260036091231
17,97.8787139921279,0.07734928480484306
18,98.15040579609182,0.0711601788763015
19,98.17478839388345,0.068514396152345
20,98.23400327423457,0.06249941603378092
21,98.6833397192518,0.05113452689552095
22,98.1120902852764,0.06705252466959784
23,98.6763732627399,0.050935931445694714
24,98.84356821902539,0.04598928467351902
25,98.64502420843638,0.05037296721442107
26,98.8366017625135,0.04496172822821047
27,98.79131979518618,0.05030138431768242
28,98.44299696959142,0.0540309677228232
29,98.59277578459717,0.05447569215578962
30,98.75997074088265,0.04726308912898565
31,98.93064892542408,0.0393098715282064
32,99.38695182695322,0.028951419123297014
33,99.12222647950121,0.038291566220126666
34,98.89233341460866,0.04417786701584447
35,98.53356090424606,0.051888181830036614
36,98.80176947995402,0.0447885788155757
37,98.99683026228709,0.038466797797279
38,99.27200529450695,0.030412959739698597
39,99.44268347904838,0.02706402650969995
40,99.3416698596259,0.03148207436823898
